fecha,ccaa,Casos totales,Casos diag día previo,Casos diag ultimos 14 días: n,Casos diag ultimos 14 días: IA,Casos diag ultimos 7 días: n,Casos diag ultimos 7 días: IA,Casos diag fecha sintomas 14 días:n,Casos diag fecha sintomas 14 días:IA,Casos diag fecha sintomas 7 días:n,Casos diag fecha sintomas 7 días:IA
2020-08-13,Galicia,10.605 ,107 ,919 ,"34,04 ",672 ,"24,89 ",209 ,"7,74 ",98 ,"3,63 "
2020-08-13,Madrid,86.752 ,842 ,10.818 ,"162,35 ",6.438 ,"96,62 ",2.086 ,"31,31 ",664 ,"9,96 "
2020-08-13,Melilla,183 ,2 ,54 ,"62,44 ",35 ,"40,47 ",26 ,"30,06 ",11 ,"12,72 "
2020-08-13,Murcia,3.224 ,53 ,885 ,"59,24 ",468 ,"31,33 ",447 ,"29,92 ",147 ,"9,84 "
2020-08-13,Navarra,7.795 ,83 ,1.176 ,"179,76 ",715 ,"109,29 ",570 ,"87,13 ",219 ,"33,48 "
2020-08-13,País Vasco,19.994 ,545 ,3.997 ,"181,04 ",2.566 ,"116,23 ",271 ,"12,27 ",37 ,"1,68 "
2020-08-13,La Rioja,4.379 ,42 ,187 ,"59,03 ",159 ,"50,19 ",109 ,"34,41 ",68 ,"21,46 "
2020-08-14,Andalucía,18.937 ,244 ,3.736 ,"44,40 ",2.106 ,"25,03 ",1.310 ,"15,57 ",518 ,"6,16 "
2020-08-14,Aragón,20.353 ,481 ,7.513 ,"569,47 ",3.309 ,"250,82 ",1.257 ,"95,28 ",226 ,"17,13 "
2020-08-14,Asturias,2.785 ,22 ,270 ,"26,40 ",150 ,"14,67 ",74 ,"7,24 ",30 ,"2,93 "
2020-08-14,Baleares,4.178 ,9 ,1.580 ,"137,46 ",890 ,"77,43 ",876 ,"76,21 ",293 ,"25,49 "
2020-08-14,Canarias,3.323 ,108 ,692 ,"32,14 ",521 ,"24,19 ",424 ,"19,69 ",219 ,"10,17 "
2020-08-14,Cantabria,2.930 ,61 ,461 ,"79,34 ",277 ,"47,67 ",214 ,"36,83 ",77 ,"13,25 "
2020-08-14,Castilla La Mancha,19.875 ,39 ,1.132 ,"55,69 ",707 ,"34,78 ",589 ,"28,97 ",218 ,"10,72 "
2020-08-14,Castilla y León,22.670 ,93 ,2.313 ,"96,39 ",1.409 ,"58,72 ",584 ,"24,34 ",208 ,"8,67 "
2020-08-14,Cataluña,91.982 ,169 ,10.991 ,"143,20 ",4.899 ,"63,83 ",3.700 ,"48,21 ",1.006 ,"13,11 "
2020-08-14,Ceuta,171 ,2 ,5 ,"5,90 ",5 ,"5,90 ",5 ,"5,90 ",4 ,"4,72 "
2020-08-14,C. Valenciana,16.777 ,167 ,3.086 ,"61,67 ",1.552 ,"31,02 ",1.158 ,"23,14 ",276 ,"5,52 "
2020-08-14,Extremadura,3.789 ,66 ,417 ,"39,06 ",245 ,"22,95 ",125 ,"11,71 ",50 ,"4,68 "
2020-08-14,Galicia,10.741 ,102 ,1.021 ,"37,82 ",713 ,"26,41 ",207 ,"7,67 ",81 ,"3,00 "
2020-08-14,Madrid,87.967 ,731 ,11.407 ,"171,19 ",6.481 ,"97,26 ",2.332 ,"35,00 ",808 ,"12,13 "
2020-08-14,Melilla,188 ,5 ,56 ,"64,75 ",37 ,"42,78 ",27 ,"31,22 ",13 ,"15,03 "
2020-08-14,Murcia,3.339 ,49 ,935 ,"62,59 ",500 ,"33,47 ",472 ,"31,60 ",180 ,"12,05 "
2020-08-14,Navarra,7.899 ,108 ,1.231 ,"188,16 ",713 ,"108,99 ",617 ,"94,31 ",247 ,"37,76 "
2020-08-14,País Vasco,20.479 ,480 ,4.306 ,"195,04 ",2.643 ,"119,71 ",268 ,"12,14 ",28 ,"1,27 "
2020-08-14,La Rioja,4.430 ,51 ,233 ,"73,55 ",197 ,"62,18 ",144 ,"45,45 ",94 ,"29,67 "
2020-08-17,Andalucía,20.468 ,203 ,4.679 ,"55,61 ",2.739 ,"32,55 ",1.582 ,"18,80 ",551 ,"6,55 "
2020-08-17,Aragón,21.847 ,389 ,6.811 ,"516,26 ",3.179 ,"240,96 ",1.305 ,"98,92 ",441 ,"33,43 "
2020-08-17,Asturias,2.861 ,18 ,308 ,"30,11 ",160 ,"15,64 ",98 ,"9,58 ",34 ,"3,32 "
2020-08-17,Baleares,4.448 ,2 ,1.666 ,"144,94 ",701 ,"60,99 ",841 ,"73,16 ",167 ,"14,53 "
2020-08-17,Canarias,3.690 ,78 ,1.001 ,"46,48 ",731 ,"33,95 ",613 ,"28,47 ",282 ,"13,10 "
2020-08-17,Cantabria,3.119 ,48 ,587 ,"101,02 ",373 ,"64,19 ",258 ,"44,40 ",89 ,"15,32 "
2020-08-17,Castilla La Mancha,20.214 ,9 ,1.350 ,"66,41 ",775 ,"38,12 ",671 ,"33,01 ",219 ,"10,77 "
2020-08-17,Castilla y León,23.132 ,29 ,2.501 ,"104,23 ",1.156 ,"48,18 ",567 ,"23,63 ",163 ,"6,79 "
2020-08-17,Cataluña,94.702 ,129 ,11.567 ,"150,71 ",5.676 ,"73,95 ",3.806 ,"49,59 ",1.015 ,"13,22 "
