,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
2020-09-21,0.0,757.0,332.0,275.0,82.0,0.0,0.0,460.0,26.0,9.0,8.0,7.0,0.0,0.0,21.0,8.0,6.0,9.0,4.0,0.0,0.0,0.0,9.0,10.0,3.0,9.0,0.0,0.0,11.0,5.0,6.0,5.0,9.0,0.0,0.0,8.0,3.0,6.0,10.0,4.0,0.0,0.0,3.0,1.0,8.0,6.0,2.0,0.0,0.0,10.0,2.0,4.0,4.0,5.0,0.0,0.0,9.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-22,0.0,1011.0,776.0,656.0,0.0,0.0,2055.0,52.0,30.0,20.0,17.0,0.0,0.0,37.0,5.0,25.0,15.0,3.0,0.0,0.0,0.0,25.0,2.0,8.0,11.0,0.0,0.0,26.0,5.0,11.0,12.0,10.0,0.0,0.0,13.0,11.0,10.0,3.0,8.0,0.0,0.0,11.0,0.0,8.0,4.0,8.0,0.0,0.0,12.0,5.0,4.0,4.0,11.0,0.0,0.0,4.0,8.0,3.0,8.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-23,0.0,828.0,589.0,0.0,0.0,2427.0,256.0,52.0,38.0,16.0,0.0,0.0,30.0,12.0,28.0,17.0,15.0,0.0,0.0,0.0,16.0,7.0,6.0,13.0,0.0,0.0,11.0,6.0,12.0,14.0,7.0,0.0,0.0,15.0,8.0,5.0,2.0,7.0,0.0,0.0,8.0,0.0,4.0,9.0,7.0,0.0,0.0,13.0,5.0,7.0,8.0,11.0,0.0,0.0,9.0,2.0,5.0,9.0,5.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-24,0.0,782.0,0.0,0.0,2454.0,491.0,91.0,16.0,18.0,0.0,0.0,17.0,11.0,23.0,15.0,11.0,0.0,0.0,0.0,22.0,6.0,11.0,18.0,0.0,0.0,14.0,8.0,7.0,47.0,2.0,0.0,0.0,8.0,2.0,8.0,5.0,9.0,0.0,0.0,12.0,0.0,4.0,10.0,7.0,0.0,0.0,5.0,2.0,2.0,7.0,8.0,0.0,0.0,18.0,4.0,5.0,3.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-25,0.0,0.0,0.0,3078.0,663.0,584.0,136.0,47.0,0.0,0.0,46.0,18.0,17.0,19.0,9.0,0.0,0.0,0.0,24.0,14.0,9.0,10.0,0.0,0.0,11.0,6.0,11.0,291.0,13.0,0.0,0.0,16.0,3.0,7.0,4.0,9.0,0.0,0.0,17.0,2.0,14.0,9.0,13.0,0.0,0.0,14.0,3.0,9.0,5.0,7.0,0.0,0.0,6.0,7.0,5.0,4.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-26,0.0,0.0,769.0,211.0,129.0,79.0,6.0,0.0,0.0,24.0,1.0,6.0,16.0,2.0,0.0,0.0,0.0,17.0,7.0,4.0,3.0,0.0,0.0,10.0,1.0,1.0,2.0,3.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,8.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,0.0,457.0,237.0,49.0,25.0,2.0,0.0,0.0,18.0,3.0,5.0,16.0,2.0,0.0,0.0,0.0,8.0,0.0,9.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,476.0,323.0,366.0,270.0,0.0,0.0,84.0,16.0,8.0,7.0,8.0,0.0,0.0,0.0,28.0,5.0,10.0,4.0,0.0,0.0,7.0,3.0,6.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,4.0,2.0,3.0,0.0,0.0,7.0,1.0,3.0,2.0,8.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-29,0.0,1205.0,1210.0,865.0,0.0,0.0,300.0,95.0,30.0,17.0,14.0,0.0,0.0,0.0,33.0,11.0,8.0,10.0,0.0,0.0,16.0,10.0,14.0,83.0,8.0,0.0,0.0,14.0,8.0,11.0,10.0,6.0,0.0,0.0,14.0,2.0,7.0,7.0,3.0,0.0,0.0,7.0,2.0,4.0,5.0,10.0,0.0,0.0,8.0,4.0,7.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,0.0,952.0,1005.0,0.0,0.0,893.0,151.0,28.0,20.0,20.0,0.0,0.0,0.0,75.0,9.0,7.0,15.0,0.0,0.0,5.0,1.0,14.0,74.0,3.0,0.0,0.0,9.0,5.0,12.0,11.0,6.0,0.0,0.0,11.0,1.0,3.0,9.0,6.0,0.0,0.0,9.0,4.0,3.0,2.0,1.0,0.0,0.0,9.0,5.0,4.0,5.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,1005.0,0.0,0.0,1157.0,171.0,35.0,31.0,23.0,0.0,0.0,0.0,123.0,12.0,15.0,18.0,0.0,0.0,12.0,4.0,10.0,116.0,7.0,0.0,0.0,12.0,7.0,9.0,5.0,6.0,0.0,0.0,13.0,2.0,5.0,8.0,8.0,0.0,0.0,5.0,3.0,10.0,3.0,6.0,0.0,0.0,10.0,4.0,6.0,3.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-02,0.0,0.0,0.0,2526.0,310.0,104.0,42.0,39.0,0.0,0.0,0.0,156.0,13.0,18.0,33.0,0.0,0.0,2.0,10.0,10.0,173.0,27.0,0.0,0.0,11.0,10.0,8.0,6.0,11.0,0.0,0.0,14.0,2.0,11.0,27.0,16.0,0.0,0.0,27.0,5.0,9.0,8.0,5.0,0.0,0.0,7.0,1.0,4.0,2.0,5.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
